spark.executor.memory	2048m
spark.executor.instances	12
spark.driver.memory	2048m
spark.eventLog.enabled	false
spark.serializer	org.apache.spark.serializer.KryoSerializer
spark.kryo.classesToRegister	org.apache.hadoop.hive.ql.io.HiveKey,org.apache.hadoop.io.BytesWritable,org.apache.hadoop.hive.ql.exec.vector.VectorizedRowBatch
spark.driver.extraJavaOptions	-Xss8m
spark.executor.extraJavaOptions	-Xss8m
1998	10003008	exportiunivamalg #8	36243.5
1998	4003001	exportiedu pack #1	34620.08
1998	10014017	edu packamalgamalg #17	31645.54
1998	3003001	exportiexporti #1	30119.84
1998	5003001	exportischolar #1	28706.510000000002
1998	9016005	corpunivamalg #5	27940.649999999998
1998	2001001	amalgimporto #1	27937.1
1998	8004005	edu packnameless #5	22627.53
1998	4002001	importoedu pack #1	21856.620000000003
1998	1002001	importoamalg #1	20252.26
1998	5004001	edu packscholar #1	16285.579999999998
1999	2001001	amalgimporto #1	44399.19
1999	5003001	exportischolar #1	41783.63
1999	3003001	exportiexporti #1	41566.240000000005
1999	5004001	edu packscholar #1	32787.39
1999	10003008	exportiunivamalg #8	32179.5
1999	10014017	edu packamalgamalg #17	30676.680000000004
1999	9016005	corpunivamalg #5	22314.24
1999	4002001	importoedu pack #1	18042.75
1999	1002001	importoamalg #1	13990.91
1999	4003001	exportiedu pack #1	13692.579999999998
1999	8004005	edu packnameless #5	7156.09
2000	6012004	importobrand #4	44203.119999999995
2000	1004001	corpunivamalg #12	43005.02
2000	6015004	scholarbrand #4	31091.089999999997
2000	4001001	importoimporto #2	28952.260000000006
2000	5001001	importoexporti #2	27999.17
2000	3003001	exportiexporti #1	27992.789999999997
2000	10003008	exportiunivamalg #8	27792.739999999998
2000	1002001	importoamalg #1	27090.489999999998
2000	4002001	importoedu pack #1	25131.62
2000	9016005	edu packimporto #2	19102.31
2000	5004001	edu packscholar #1	18313.350000000002
2000	5003001	exportischolar #1	17301.68
2000	8004005	edu packnameless #5	17151.440000000002
2000	4003002	exportiedu pack #2	15467.559999999998
2000	10014017	edu packexporti #2	11292.33
2001	1004001	corpunivamalg #12	48190.899999999994
2001	5003001	brandcorp #2	46564.33
2001	5003001	maxiunivamalg #9	40735.34
2001	6015004	scholarbrand #4	36900.32
2001	9016005	edu packimporto #2	35615.07
2001	4001001	importoimporto #2	34395.42
2001	5004001	importocorp #8	29098.620000000003
2001	4003002	exportiedu pack #2	27706.53
2001	5003002	exportischolar #2	26021.370000000003
2001	5001001	importoexporti #2	22084.18
2001	10014017	edu packexporti #2	21207.25
2001	8004005	amalgedu pack #2	15414.64
2001	6012004	importobrand #4	14570.300000000001
2001	10003008	exportiunivamalg #8	3452.7900000000004
2002	6008005	namelesscorp #5	49592.729999999996
2002	4001001	namelessmaxi #1	41014.76000000001
2002	5004001	importocorp #8	34092.34
2002	8004005	amalgedu pack #2	30164.07
2002	10001015	exportiunivamalg #1	28325.49
2002	8004007	edu packnameless #7	27946.73
2002	5003001	brandcorp #2	25240.94
2002	3004001	edu packexporti #1	24561.480000000003
2002	10003008	exportiunivamalg #8	22522.87
2002	5003001	maxiunivamalg #9	20068.49
2002	6015004	importoscholar #1	19349.55
2002	9014011	edu packimporto #1	13543.570000000002
2002	5003002	exportischolar #2	11052.32
