"2","1999-09-02","484.18","","484.18","481.96000000000004"
"5","2000-01-06","131.34","","131.34","37.08"
"5","2000-01-08","","78.49000000000001","131.34","78.49000000000001"
"5","2000-01-11","","86.49000000000001","131.34","86.49000000000001"
"20","1999-06-05","69.81","","69.81","24.94"
"20","1999-06-10","","36.82","69.81","36.82"
"25","1999-06-14","182.8","","182.8","123.99"
"25","1999-06-20","","167.07999999999998","182.8","167.07999999999998"
"37","1999-06-02","","37.85","139.13","37.85"
"37","1999-06-12","","40.93","139.13","40.93"
"37","1999-06-22","","46.93","139.13","46.93"
"37","1999-06-29","","76.44","139.13","76.44"
"37","1999-07-08","","78.82","139.13","78.82"
"37","1999-07-11","","79.44999999999999","139.13","79.44999999999999"
"37","1999-07-31","209.63","","209.63","190.95"
"37","1999-08-06","","192.04999999999998","209.63","192.04999999999998"
"43","1999-06-05","101.8","18.54","101.8","18.54"
"43","1999-06-12","","38.95","101.8","38.95"
"43","1999-06-13","","40.160000000000004","101.8","40.160000000000004"
"43","1999-06-20","","47.95","101.8","47.95"
"43","1999-07-02","102.88","50.18","102.88","50.18"
"43","1999-07-16","","88.69","102.88","88.69"
"43","1999-07-30","118.66","","118.66","106.92999999999999"
"44","1999-06-10","","1.74","37.03","1.74"
"44","1999-06-11","77.37","","77.37","1.74"
"44","1999-06-14","","6.78","77.37","6.78"
"44","1999-06-19","","20.43","77.37","20.43"
"44","1999-06-21","101.38000000000001","","101.38000000000001","20.43"
"44","1999-06-28","","97.25","101.38000000000001","97.25"
"46","1999-06-10","132.55","","132.55","82.33"
"46","1999-06-13","","92.11","132.55","92.11"
"46","1999-06-17","","123.21000000000001","132.55","123.21000000000001"
"46","1999-08-27","667.2600000000001","","667.2600000000001","636.6700000000001"
"46","1999-08-28","","637.8900000000001","667.2600000000001","637.8900000000001"
"46","1999-08-31","","653.0300000000001","667.2600000000001","653.0300000000001"
"49","1999-06-11","","95.56","178.44","95.56"
"53","2000-01-10","","80.89","191.57999999999998","80.89"
"53","2000-01-21","","89.61","191.57999999999998","89.61"
"53","2000-02-05","224.67","","224.67","89.61"
"53","2000-02-07","","111.92","224.67","111.92"
"53","2000-02-09","258.9","","258.9","111.92"
"53","2000-02-14","266.62","","266.62","111.92"
"53","2000-02-17","","171.53","266.62","171.53"
"53","2000-02-24","","246.87","266.62","246.87"
"53","2000-02-28","369.32","284.69","369.32","284.69"
"53","2000-03-14","","353.0","369.32","353.0"
"53","2000-03-16","","355.12","369.32","355.12"
"53","2000-04-06","582.82","","582.82","504.65000000000003"
"53","2000-04-07","","517.4000000000001","582.82","517.4000000000001"
"53","2000-04-09","","563.6300000000001","582.82","563.6300000000001"
"53","2000-04-10","","563.9800000000001","582.82","563.9800000000001"
"53","2000-04-22","","570.6300000000001","582.82","570.6300000000001"
"56","1999-06-12","119.57","","119.57","21.43"
"56","1999-06-19","","33.69","119.57","33.69"
"56","1999-06-24","","51.73","119.57","51.73"
"56","1999-07-07","","55.699999999999996","119.57","55.699999999999996"
"56","1999-07-11","","111.9","119.57","111.9"
"56","1999-07-12","","118.94000000000001","119.57","118.94000000000001"
"56","1999-07-15","","118.94000000000001","119.57","118.94000000000001"
"58","1999-06-12","22.03","","22.03","1.21"
"58","1999-06-24","55.03","5.05","55.03","5.05"
"59","2000-01-07","","7.81","19.49","7.81"
"62","1999-07-25","","27.47","84.17","27.47"
"64","1999-06-11","71.51","","71.51","40.76"
"64","1999-06-12","","46.48","71.51","46.48"
"64","1999-06-19","131.33","","131.33","46.48"
"67","1999-07-21","69.19","","69.19","68.99000000000001"
"68","1999-06-20","39.47","","39.47","30.66"
"70","1999-06-18","","59.06","119.62","59.06"
"70","1999-06-20","","59.06","119.62","59.06"
"70","1999-07-04","157.56","","157.56","156.0"
"71","2000-01-14","","6.16","39.38","6.16"
"71","2000-01-15","158.61","16.3","158.61","16.3"
"71","2000-01-19","270.49","","270.49","16.3"
"71","2000-02-05","","170.22","270.49","170.22"
"71","2000-02-14","","224.48","270.49","224.48"
"71","2000-02-18","","243.98999999999998","270.49","243.98999999999998"
"74","1999-06-05","","4.36","49.99","4.36"
"74","1999-06-09","","26.74","49.99","26.74"
"74","1999-06-16","98.47","","98.47","26.74"
"74","1999-06-23","","34.12","98.47","34.12"
"74","1999-06-28","","47.83","98.47","47.83"
"74","1999-07-02","","49.91","98.47","49.91"
"74","1999-07-08","","78.63","98.47","78.63"
"74","1999-07-12","132.86","","132.86","78.63"
"76","1999-08-01","351.14","","351.14","318.69"
"76","1999-08-06","","323.1","351.14","323.1"
"76","1999-08-18","613.72","586.0400000000001","613.72","586.0400000000001"
"76","1999-09-04","747.8500000000001","743.97","747.8500000000001","743.97"
"79","1999-06-16","108.87","","108.87","2.03"
"85","1999-07-02","53.61","","53.61","44.510000000000005"
"85","1999-07-09","","44.510000000000005","53.61","44.510000000000005"
"88","1999-08-17","94.93","90.74000000000001","94.93","90.74000000000001"
"88","1999-09-02","290.73","261.22","290.73","261.22"
"88","1999-09-03","308.64000000000004","261.22","308.64000000000004","261.22"
"88","1999-09-17","","282.65000000000003","308.64000000000004","282.65000000000003"
"88","1999-09-18","","283.40000000000003","308.64000000000004","283.40000000000003"
"88","1999-09-23","366.26000000000005","","366.26000000000005","283.40000000000003"
"88","1999-09-26","","305.57000000000005","366.26000000000005","305.57000000000005"
"88","1999-09-27","","353.26000000000005","366.26000000000005","353.26000000000005"
