spark.executor.memory	2048m
spark.executor.instances	12
spark.driver.memory	2048m
spark.eventLog.enabled	false
spark.serializer	org.apache.spark.serializer.KryoSerializer
spark.kryo.classesToRegister	org.apache.hadoop.hive.ql.io.HiveKey,org.apache.hadoop.io.BytesWritable,org.apache.hadoop.hive.ql.exec.vector.VectorizedRowBatch
spark.driver.extraJavaOptions	-Xss8m
spark.executor.extraJavaOptions	-Xss8m
		129.79
12477	Lawrence County	42.16
12898	Northampton County	44.72
16060	Tioga County	57.63
17057	Ulster County	85.78
20725	Greenville County	45.68
21087	Buncombe County	34.05
21757	Burke County	15.59
29145	Onslow County	11.53
30499	Toombs County	9.24
33360	Lake County	18.38
33592	Coffee County	19.31
34136	Putnam County	188.62
34975	Van Buren County	29.84
35867	Wheeler County	13.58
37752	Hardee County	110.92
38811	Obion County	54.56
39306	Emanuel County	8.54
39532	Mobile County	19.63
40150	Montgomery County	5.77
40725	Leelanau County	13.2
44975	Owsley County	84.75
51933	Barron County	39.39
54107	Hanson County	1.9
58605	Grant County	1.02
58883	Rusk County	15.19
58883	Swift County	62.36
61204	Lake County	0.48
69454	Hayes County	104.23
71521	Le Flore County	87.38
72812	Pontotoc County	86.44
75038	Pike County	32.83
77057	Liberty County	12.19
77995	Beckham County	80.55
95124	Pacific County	25.78
97746	North Slope Borough	0.0
