spark.executor.memory	2048m
spark.executor.instances	12
spark.driver.memory	2048m
spark.eventLog.enabled	false
spark.serializer	org.apache.spark.serializer.KryoSerializer
spark.kryo.classesToRegister	org.apache.hadoop.hive.ql.io.HiveKey,org.apache.hadoop.io.BytesWritable,org.apache.hadoop.hive.ql.exec.vector.VectorizedRowBatch
spark.driver.extraJavaOptions	-Xss8m
spark.executor.extraJavaOptions	-Xss8m
	6119.76
30059	470.92
30069	1275.0900000000001
30150	1133.49
30162	1394.1
30169	2667.83
30191	467.23
30319	1452.9
30399	3424.63
30411	1713.6
30492	235.73000000000002
30499	2508.209999999999
30534	2220.81
30587	1338.04
30635	141.08
30725	320.16
30852	224.07
30919	647.27
31083	500.37
31087	2931.32
31289	1297.52
31387	1920.76
31521	785.06
31654	783.99
31669	297.45
31675	867.6700000000001
31711	2320.08
31749	911.81
31757	2152.14
31852	631.85
31854	474.13
31904	1535.72
31933	224.15
31952	1371.4500000000003
32033	609.69
32106	720.19
32219	214.49
32477	2719.56
32565	417.28999999999996
32686	860.1800000000001
32724	350.74
32808	885.25
32812	2222.31
32898	2675.36
33003	1770.5900000000001
33075	472.82000000000005
33394	1021.55
33425	248.04999999999998
33451	367.38
33511	3134.3600000000006
33595	1643.4899999999998
33604	3627.4
33683	2090.2500000000005
33951	342.46000000000004
34027	193.07
34092	370.35
34098	1700.9900000000002
34107	774.54
34120	618.73
34136	1352.4100000000003
34145	306.88
34244	1773.49
34289	1925.4699999999998
34338	2021.9300000000003
34408	250.17
34462	570.57
34464	302.66999999999996
34466	1863.85
34536	675.62
34593	1580.0900000000001
34642	231.17000000000002
34854	1304.45
34975	3419.93
35038	750.0099999999999
35124	1620.7600000000002
35258	467.47999999999996
35281	738.6600000000001
35423	679.5699999999998
35521	187.59999999999997
35752	721.3000000000001
35804	2724.43
35817	2083.8999999999996
35858	64.61
36000	156.64
36060	5625.119999999999
36074	692.02
36098	1989.9399999999998
36192	1217.52
36245	93.66
36457	179.62000000000003
36534	666.3199999999998
36557	2298.65
36575	435.39
36614	3689.6300000000006
36653	877.84
36668	2508.0400000000004
36719	515.69
36787	1129.5300000000002
36867	2428.34
36871	1171.4299999999998
