"AAAAAAAAABCEAAAA","15","0.0","24","0.0","27","0.0","22.0"
"AAAAAAAABJIBAAAA","65","0.0","9","0.0","27","0.0","33.666666666666664"
"AAAAAAAACBACAAAA","19","0.0","4","0.0","22","0.0","15.0"
"AAAAAAAACHNAAAAA","9","0.0","45","0.0","17","0.0","23.666666666666668"
"AAAAAAAACKFFAAAA","7","0.0","36","0.0","8","0.0","17.0"
"AAAAAAAACKPBAAAA","29","0.0","18","0.0","20","0.0","22.333333333333332"
"AAAAAAAADELBAAAA","19","0.0","34","0.0","9","0.0","20.666666666666668"
"AAAAAAAADFOAAAAA","16","","23","","","",""
"AAAAAAAADGGBAAAA","77","0.0","13","0.0","49","0.0","46.333333333333336"
"AAAAAAAAGAOAAAAA","4","0.0","15","0.0","16","0.0","11.666666666666666"
"AAAAAAAAGGBBAAAA","72","0.0","1","0.0","36","0.0","36.333333333333336"
"AAAAAAAAGJICAAAA","3","0.0","7","0.0","54","0.0","21.333333333333332"
"AAAAAAAAGKBDAAAA","77","0.0","12","0.0","1","0.0","30.0"
"AAAAAAAAGKEGAAAA","33","0.0","42","0.0","7","0.0","27.333333333333332"
"AAAAAAAAGMMEAAAA","26","0.0","42","0.0","50","0.0","39.333333333333336"
"AAAAAAAAHPNFAAAA","1","0.0","28","0.0","15","0.0","14.666666666666666"
"AAAAAAAAIEDCAAAA","58","0.0","48","0.0","60","0.0","55.333333333333336"
"AAAAAAAAJINEAAAA","22","0.0","52","0.0","19","0.0","31.0"
"AAAAAAAAJJPEAAAA","33","0.0","6","0.0","1","0.0","13.333333333333334"
"AAAAAAAALMPCAAAA","11","0.0","25","0.0","9","0.0","15.0"
"AAAAAAAAMCMDAAAA","14","0.0","54","0.0","3","0.0","23.666666666666668"
"AAAAAAAAOKKDAAAA","29","0.0","46","0.0","1","0.0","25.333333333333332"
"AAAAAAAAOMBEAAAA","20","0.0","15","0.0","3","0.0","12.666666666666666"
"AAAAAAAAPKCEAAAA","32","0.0","42","0.0","5","0.0","26.333333333333332"
