"catalog","7885","0.5000","1","1"
"catalog","18800","0.5333","2","2"
"catalog","18050","0.5556","3","3"
"catalog","16772","0.5781","4","4"
"catalog","259","0.6333","5","5"
"catalog","16471","0.6429","6","6"
"catalog","12379","0.6438","7","7"
"catalog","16532","0.6543","8","70"
"catalog","4897","0.6837","9","8"
"catalog","9139","0.7263","10","9"
"catalog","5360","0.7324","11","10"
"store","23711","0.6042","1","1"
"store","8119","0.7083","2","2"
"store","6847","0.7708","3","3"
"store","11383","0.7755","4","4"
"store","18709","0.7895","5","5"
"store","9019","0.8022","6","6"
"store","15361","0.8462","7","7"
"store","19370","0.8925","8","8"
"store","21637","0.8987","9","9"
"store","14402","0.9103","10","10"
"web","24962","0.5326","1","1"
"web","4832","0.6044","2","2"
"web","3965","0.6400","3","20"
"web","15845","0.6854","4","3"
"web","7304","0.7000","5","4"
"web","13007","0.7500","6","5"
"web","24779","0.7750","7","6"
"web","22892","0.7778","8","7"
"web","15524","0.7848","9","15"
"web","16748","0.8022","10","8"
"web","25451","0.8041","11","9"
"web","2600","0.8041","11","9"
