spark.executor.memory	2048m
spark.executor.instances	12
spark.driver.memory	2048m
spark.eventLog.enabled	false
spark.serializer	org.apache.spark.serializer.KryoSerializer
spark.kryo.classesToRegister	org.apache.hadoop.hive.ql.io.HiveKey,org.apache.hadoop.io.BytesWritable,org.apache.hadoop.hive.ql.exec.vector.VectorizedRowBatch
spark.driver.extraJavaOptions	-Xss8m
spark.executor.extraJavaOptions	-Xss8m
4003002	exportiedu pack #2	119450.6
5001002	amalgscholar #2	96304.70999999999
2002002	importoimporto #2	86103.09000000001
6015006	scholarbrand #6	71701.57
3003002	exportiexporti #2	68497.95000000001
2004002	edu packimporto #2	65805.92
3004002	edu packexporti #2	61964.16
9007008	brandmaxi #8	61179.29
3002002	importoexporti #2	53186.81
6010006	univbrand #6	51923.41999999999
7003006	exportibrand #6	50458.71
6013004	exportibrand #4	47635.58
2001002	amalgimporto #2	47514.5
4004002	edu packedu pack #2	46516.56999999999
5003002	exportischolar #2	46368.34999999999
10004013	edu packunivamalg #13	46099.21000000001
4001002	amalgedu pack #2	45596.12
2004001	importoimporto #2	44521.19
7014010	edu packnameless #10	44402.78
7014001	edu packcorp #4	43998.39000000001
5004001	scholarbrand #8	43680.340000000004
3001001	amalgamalgamalg #15	43221.69
7006008	corpbrand #8	41153.869999999995
2003002	exportiimporto #2	39853.63
10006011	corpunivamalg #11	38322.97000000001
9012005	amalgunivamalg #16	37963.649999999994
1004001	edu packamalg #2	37595.18
5003001	univunivamalg #4	37380.53
6015007	scholarunivamalg #16	36858.299999999996
8013002	exportimaxi #2	36529.11
10014005	edu packamalgamalg #5	36117.82
6016001	importoamalg #2	35998.69
5004002	edu packscholar #2	35475.1
9015011	importoscholar #2	34505.380000000005
9015009	scholarnameless #2	33969.49999999999
9005010	scholarmaxi #10	33574.62000000001
4001001	importoedu pack #2	33150.57
8008010	namelessnameless #10	32345.67
5002002	importoscholar #2	32072.069999999996
4002001	amalgmaxi #12	31598.119999999995
6004005	amalgmaxi #8	31073.52
3001001	exportiexporti #2	30449.19
2003001	maxinameless #6	29417.58
1003001	amalgnameless #2	29258.64
8013007	amalgcorp #4	28513.08
5004001	scholarcorp #4	28111.82
9005011	importoscholar #2	27698.62
10007003	scholarbrand #6	27589.870000000003
9006002	corpmaxi #2	27463.760000000002
10014007	edu packamalgamalg #7	27227.09
8016009	edu packamalg #2	27105.18
9016012	corpunivamalg #12	26611.050000000003
4004001	amalgcorp #2	26530.010000000002
10011016	amalgamalgamalg #16	25931.989999999998
8002010	importonameless #10	25882.66
9004008	edu packmaxi #8	25342.800000000003
7010004	univnameless #4	25185.81
7016002	corpnameless #2	25149.75
4003001	univbrand #2	25104.489999999998
8008006	namelessnameless #6	25086.5
3004001	exportibrand #4	23990.25
9006004	corpmaxi #4	23547.999999999996
3002001	exportiexporti #2	23130.710000000003
9010002	univunivamalg #2	22326.86
10008010	brandmaxi #6	21508.819999999996
3003001	scholarnameless #6	21428.75
2003001	amalgexporti #2	21322.32
5002001	exportischolar #2	20786.58
9003008	exportimaxi #8	20725.140000000003
2003001	edu packimporto #2	20492.47
10014008	edu packamalgamalg #8	20189.230000000003
7002006	importobrand #6	20156.94
10003017	maximaxi #6	19475.789999999997
9001002	amalgmaxi #2	19444.88
7004005	scholarmaxi #10	19259.570000000003
10007011	brandunivamalg #11	18856.01
6001002	amalgcorp #2	18650.16
5004001	importoamalg #2	17656.38
1004001	edu packexporti #2	16915.219999999998
8003010	exportinameless #10	16409.09
7013008	exportinameless #8	16095.550000000001
7012007	univamalgamalg #17	16045.89
9016009	amalgexporti #2	15368.04
9012005	maxiunivamalg #5	15304.279999999999
7004002	edu packbrand #2	15203.56
10002007	maxiunivamalg #8	14931.399999999998
6005004	scholarcorp #4	14607.460000000001
8015007	exportiamalg #2	14535.43
1002001	maxiunivamalg #6	13457.599999999999
10015009	scholaramalgamalg #9	13069.260000000002
4002001	amalgedu pack #2	12615.84
3004001	amalgimporto #2	12426.300000000001
7015006	scholarnameless #6	11408.060000000001
8001010	amalgnameless #10	11393.96
9015009	scholarnameless #6	11039.42
10006004	importonameless #10	10864.09
9013010	exportiunivamalg #10	10811.2
1001001	importoamalgamalg #7	6607.66
